date,code,open,close,low,high,volume,money,turnover_ratio
2021-10-28,000967.XSHE,32.83,32.2,31.89,32.83,1129281.0,36373935.03,0.2908
2021-10-28,000968.XSHE,18.34,17.3,16.67,18.62,15587529.0,268565189.23,3.0556
2021-10-28,000969.XSHE,58.3,55.19,54.71,58.57,3294366.0,184375404.66,2.2294
2021-10-28,000970.XSHE,184.94,176.68,176.03,184.94,1824982.0,326278934.44,2.777
2021-10-28,000971.XSHE,8.42,8.42,8.34,8.72,2379372.0,20238654.0,1.1226
2021-10-28,000972.XSHE,7.09,7.15,7.09,7.29,933866.0,6690782.17,0.3956
2021-10-28,000973.XSHE,17.8,17.41,17.1,17.88,4554829.0,79413596.55,1.826
2021-10-28,000975.XSHE,91.12,91.02,90.72,92.85,1665457.0,152607828.89,0.6895
2021-10-28,000976.XSHE,18.92,18.55,18.4,19.03,2644202.0,49152075.88,0.6127
2021-10-28,000977.XSHE,199.04,203.92,198.38,206.63,5638362.0,1148065748.05,2.5626
2021-10-28,000978.XSHE,15.26,14.98,14.91,15.38,1309731.0,19738910.94,1.142
2021-10-28,000980.XSHE,17.1,18.35,16.76,18.51,31146872.0,540250584.19,5.1997
2021-10-28,000981.XSHE,9.39,9.35,9.25,9.53,2807377.0,26280872.38,0.3792
2021-10-28,000982.XSHE,43.97,43.8,43.13,44.99,4262214.0,186969735.56,1.6914
2021-10-28,000983.XSHE,81.7,80.56,78.54,83.36,20312391.0,1622982704.93,4.3511
2021-10-28,000985.XSHE,19.24,18.79,18.61,19.24,738028.0,13904500.86,0.9518
2021-10-28,000987.XSHE,43.57,43.74,43.46,44.26,1158223.0,50790527.11,0.1844
2021-10-28,000988.XSHE,301.48,301.38,299.66,310.89,1812016.0,551859146.35,1.8241
2021-10-28,000989.XSHE,40.24,39.95,39.81,40.53,961268.0,38497109.0,0.7439
2021-10-28,000990.XSHE,44.29,43.54,43.35,44.82,4136536.0,181195192.49,1.031
2021-10-28,000993.XSHE,34.25,32.78,32.78,35.24,34442723.0,1164846385.87,14.2628
2021-10-28,000995.XSHE,40.86,40.49,40.44,41.87,3893887.0,160091965.0,3.6984
2021-10-28,000996.XSHE,33.28,32.8,32.51,33.49,594370.0,19552607.28,0.6993
2021-10-28,000997.XSHE,166.42,167.54,164.17,167.76,487751.0,81034723.3,0.5335
2021-10-28,000998.XSHE,246.18,232.76,226.89,246.18,3642975.0,854001599.32,3.8044
2021-10-28,000999.XSHE,51.08,50.3,50.03,52.2,5452219.0,275980503.47,1.1544
2021-10-28,001201.XSHE,53.11,51.32,51.22,53.11,1432972.0,74188919.13,4.6006
2021-10-28,001202.XSHE,16.49,16.12,16.12,16.76,658116.0,10711239.36,2.0412
2021-10-28,001203.XSHE,16.39,15.48,15.41,16.4,9705052.0,152463351.9,4.5396
2021-10-28,001205.XSHE,20.37,19.68,19.54,20.37,891912.0,17620131.06,2.9664
2021-10-28,001206.XSHE,43.52,42.6,42.57,43.95,462804.0,19893700.16,1.9948
2021-10-28,001207.XSHE,21.22,20.66,20.64,21.22,1382756.0,28789353.94,3.039
2021-10-28,001208.XSHE,18.51,17.29,17.24,18.51,35389216.0,625881049.23,26.6408
2021-10-28,001209.XSHE,24.1,23.28,23.18,24.14,803557.0,18843614.49,3.4214
2021-10-28,001210.XSHE,36.36,35.01,35.0,36.79,2629986.0,93920024.26,11.5909
2021-10-28,001211.XSHE,26.86,27.09,26.3,27.77,880676.0,23735329.58,4.9782
2021-10-28,001212.XSHE,29.7,28.63,28.52,29.7,860379.0,24812245.37,3.7952
2021-10-28,001213.XSHE,5.35,5.17,5.15,5.42,30794934.0,161928028.61,6.9289
2021-10-28,001215.XSHE,59.14,60.9,57.1,61.3,2143594.0,127369365.23,10.0733
2021-10-28,001216.XSHE,15.9,15.04,15.0,16.09,17488309.0,271529407.67,27.7739
2021-10-28,001217.XSHE,19.51,19.01,18.45,20.08,29623552.0,566428396.71,35.7039
2021-10-28,001218.XSHE,41.72,40.83,40.72,42.55,2714796.0,112109019.51,12.0658
2021-10-28,001219.XSHE,32.65,32.65,32.65,32.65,2748900.0,89751585.0,12.3824
2021-10-28,001696.XSHE,171.35,167.5,166.48,172.11,228148.0,38481975.74,0.6646
2021-10-28,001872.XSHE,70.45,70.68,69.92,71.39,422747.0,29797580.8,0.3167
2021-10-28,001896.XSHE,10.16,9.96,9.91,10.49,33215937.0,338257349.18,3.9896
2021-10-28,001914.XSHE,132.34,125.13,122.79,132.34,1435795.0,180120777.64,2.0983
2021-10-28,001965.XSHE,7.82,7.93,7.8,8.0,3772491.0,29947986.21,0.2198
2021-10-28,001979.XSHE,13.72,13.54,13.46,13.84,29314285.0,398676943.83,0.4572
2021-10-28,002001.XSHE,938.94,933.72,919.79,946.25,283372.0,263483427.71,0.3872
2021-10-28,002002.XSHE,61.51,56.82,56.71,61.51,13807036.0,804770560.21,4.8347
2021-10-28,002003.XSHE,150.07,155.1,147.81,157.53,392589.0,60449857.67,1.0569
2021-10-28,002004.XSHE,129.28,126.18,125.36,130.1,1675934.0,213181747.6,1.8868
2021-10-28,002005.XSHE,22.77,22.17,21.97,22.98,2490117.0,55725310.0,1.5017
2021-10-28,002006.XSHE,131.39,127.91,124.13,132.94,1331183.0,170263615.29,2.2605
